,country_long,n_users,population,users_per_K,gdp_2019
48,Dominica,1912,72000,26.555555555555554,8110.56851191655
49,Dominican Republic,282425,10848000,26.034752949852507,8282.11635935324
50,Ecuador,680921,17643000,38.59440004534376,6183.82382482173
51,Egypt,1079882,102334000,10.552524087790959,3019.20582861756
52,El Salvador,151480,6486000,23.35491828553808,4187.2500311069
53,Estonia,24811,1325000,18.725283018867923,23723.306112848
54,Eswatini,3011,1160000,2.595689655172414,3894.67980685427
55,Ethiopia,17447,114964000,0.1517605511290491,855.760862280838
57,Fiji,8337,896000,9.3046875,6175.88872032104
58,Finland,136691,5528000,24.727026049204053,48782.7884755091
59,France,1918971,67206000,28.553566645835193,40493.9285720456
60,French Guiana,1725,787000,2.1918678526048283,6609.58642503371
62,Gabon,5485,2226000,2.464061096136568,7767.01340440788
63,Georgia,8099,3711000,2.182430611694961,4697.7045759469
64,Germany,928127,83191000,11.156579437679557,46445.2491012508
65,Ghana,205685,31073000,6.619412351559231,2202.11556738065
67,Greece,169006,10657000,15.858684432767195,19582.5359794936
69,Grenada,3668,113000,32.46017699115044,10808.6721222084
70,Guadeloupe,9012,400000,22.53,
72,Guatemala,281488,16918000,16.638373330180873,4619.98525821971
73,Guernsey,4732,62800,75.35031847133757,
74,Guinea,3612,13133000,0.2750323612274423,962.839908587778
75,Guyana,12790,786559,16.260700087342464,
76,Haiti,26760,11403000,2.346750855038148,1272.4909246734
77,Honduras,133636,9905000,13.491771832407874,2574.91219067443
78,Hong Kong,157898,7560000,20.885978835978833,48713.4737481561
79,Hungary,80948,9741000,8.310029771070731,16731.8215139051
80,Iceland,24157,364000,66.36538461538461,66944.8330769825
81,India,3628663,1380004000,2.629458320410665,2099.59904810855
82,Indonesia,8984342,273524000,32.84663137421214,4135.56926281554
84,Iraq,355183,40222000,8.83056536223957,5955.10901036816
85,Ireland,309672,4991000,62.04608294930876,78660.9564629603
87,Israel,95342,9197000,10.366641296074807,43592.0835823234
88,Italy,953725,60172000,15.849980057169446,33228.2366803707
89,Jamaica,89541,2961000,30.24012158054711,5582.26377755211
90,Japan,5909848,125769000,46.98970334502143,40246.8801284164
91,Jersey,1746,107800,16.196660482374767,
92,Jordan,125059,10203000,12.257081250612565,4405.48841230824
93,Kazakhstan,76021,18733000,4.058132706987669,9812.39037613835
94,Kenya,368609,53771000,6.8551635640029005,1816.5469164389
95,Kosovo,10726,1806000,5.9390919158361015,4417.5240622333
96,Kuwait,424066,4271000,99.28962772184501,32000.4484691578
97,Kyrgyzstan,10415,6565000,1.5864432597105864,1309.39299165512
98,Laos,4603,7276000,0.632627817482133,2534.89827991125
99,Latvia,64027,1893000,33.8230322239831,17828.8946571856
100,Lebanon,114309,6825000,16.748571428571427,7583.69472170648
101,Lesotho,5665,2142000,2.6447245564892623,1118.13128380194
102,Liberia,5423,5058000,1.072162910241202,621.892953622715
103,Libya,71393,6871000,10.390481734827535,7685.94926653003
104,Lithuania,27135,2753000,9.856520159825644,19601.8908343885
105,Luxembourg,16060,629000,25.532591414944356,114704.594170863
106,Macau,8174,649000,12.594761171032358,84096.3963112065
107,Madagascar,9163,27691000,0.3309017370264707,523.359064460847
108,Malawi,13921,19130000,0.7277051751176163,411.552340423602
109,Malaysia,1276320,32366000,39.4339739232528,11414.2069765208
110,Maldives,25495,541000,47.12569316081331,10626.513402239
111,Mali,6662,20251000,0.3289714088193175,879.008010446655
112,Malta,19234,504000,38.16269841269841,29820.6032474099
113,Martinique,8577,375265,22.85584853370285,
114,Mauritania,919,4650000,0.19763440860215054,1679.44487300408
115,Mauritius,13995,1268000,11.037066246056783,11099.2402835688
116,Mexico,4197553,128933000,32.55607951416627,9946.03382879198
117,Moldova,9862,2651000,3.7201056205205583,4503.51698538847
119,Mongolia,30125,3278000,9.190054911531421,4339.84327925027
120,Montenegro,8466,622000,13.610932475884244,8908.93479246767
121,Montserrat,336,5000,67.2,
122,Morocco,85288,36911000,2.3106391048738857,3204.09500313298
123,Mozambique,20215,31255000,0.6467765157574787,503.570772675202
124,Myanmar (Burma),46440,54410000,0.8535195736077927,1407.81314341043
125,Namibia,23604,2541000,9.289256198347108,4957.45822226408
126,Nepal,129515,29137000,4.445035521845076,1071.05076055404
127,Netherlands,964463,17368000,55.531034085674804,52331.3167277797
129,New Zealand,224319,4955000,45.271241170534815,42084.3533748088
130,Nicaragua,81519,6625000,12.304754716981131,1912.90374537869
131,Niger,3206,24207000,0.13244102945429007,553.89505038138
132,Nigeria,1291281,206140000,6.264097215484622,2229.85869624463
134,North Macedonia,14189,2083000,6.811809889582333,6022.21617939574
136,Norway,190617,5391000,35.358375069560374,75419.6348688089
137,Oman,110143,5107000,21.567064813001764,15343.0620043106
138,Pakistan,753358,220892000,3.4105264110968254,1284.70204090039
139,Palestine,28077,5101416,5.50376601320104,
140,Panama,200006,4315000,46.3513325608343,15731.0160348471
141,Papua New Guinea,4402,8947000,0.49200849446741923,2829.17030896837
142,Paraguay,220630,7133000,30.930884620776673,5414.79913793258
143,Peru,712342,32972000,21.60445226252578,6977.69578355382
144,Philippines,2581032,109581000,23.553645248720127,3485.08421835861
145,Poland,253982,37919000,6.698014188137873,15692.5070255563
146,Portugal,347403,10237000,33.93601641105793,23252.0585181211
147,Puerto Rico,165082,3159000,52.2576764798987,32873.7192730424
148,Qatar,152844,2881000,53.05241235682055,62088.0618276987
149,Republic of the Congo,1490,5518000,0.2700253715114172,2279.96913053355
150,Romania,105572,19238000,5.487680632082337,12919.5296441908
151,Russia,1699973,144346000,11.777070372577002,11584.9953826104
152,Rwanda,14439,12952000,1.1148085237801113,820.025241658159
153,Réunion,5545,895308,6.193399366475001,
154,Saint Kitts and Nevis,208,53000,3.9245283018867925,19934.9745323929
155,Saint Lucia,5609,184000,30.483695652173914,11611.4154473966
156,Saint Vincent and the Grenadines,706,111000,6.36036036036036,7457.50950382514
158,Saudi Arabia,2651015,34814000,76.14795771815936,23139.7986561214
159,Senegal,28117,16744000,1.6792283803153367,1446.83096499408
160,Serbia,94430,6911000,13.663724497178412,7411.83611634734
161,Seychelles,1656,98000,16.897959183673468,17448.2702926831
162,Sierra Leone,4341,7977000,0.5441895449417073,527.533634399111
163,Singapore,311141,5751000,54.10206920535559,65233.2824392302
164,Slovakia,30760,5455000,5.638863428047663,19266.2754990139
165,Slovenia,19528,2088000,9.35249042145594,25946.1821852127
167,South Africa,1368757,59309000,23.07840294053179,6001.40081394888
168,South Korea,811259,51727000,15.683472847835754,31846.2182324258
169,Spain,2747765,47077000,58.36746181787285,29600.3782526602
170,Sri Lanka,73313,21898000,3.347931317928578,3853.08369288942
171,Sudan,55171,43849000,1.258204292002098,441.505603374484
172,Suriname,8750,587000,14.906303236797275,6359.83361442737
173,Sweden,320867,10346000,31.01362845544172,51615.0206514946
174,Switzerland,164811,8633000,19.0908143171551,81993.72712595
175,Syria,34627,17500657,1.978611431559398,
176,Taiwan,230133,23816775,9.66264324200065,
177,Tajikistan,1230,9538000,0.128957852799329,870.787589323223
178,Tanzania,79752,59734000,1.3351190276894231,1122.12181047515
179,Thailand,935670,69800000,13.405014326647565,7806.74221105532
180,The Bahamas,27164,393000,69.11959287531806,34863.7420984795
181,The Gambia,3629,2417000,1.5014480761274307,777.811932084008
182,Togo,952,8279000,0.11498973305954825,679.290249091295
183,Trinidad and Tobago,70713,1399000,50.54538956397427,17397.9817601543
184,Tunisia,57994,11819000,4.906844910736949,3317.4535932122
185,Turkey,3064418,84339000,36.33453088132418,9126.56134585014
187,Turks and Caicos Islands,1706,39000,43.743589743589745,31353.3293184258
189,Uganda,88425,45741000,1.933167180428937,794.341077917102
190,Ukraine,406562,44118000,9.215331610680447,3659.03131229487
191,United Arab Emirates,627712,9890000,63.46936299292215,43103.3230583165
192,United Kingdom,7711519,67156000,114.82993328965394,42330.117537005
193,United States,31566207,330139000,95.6148985730253,65297.517508274
194,Uruguay,266157,3474000,76.6139896373057,16190.126957465
195,Uzbekistan,13003,34074000,0.38161061219698306,1724.8411344137
196,Venezuela,1732469,28436000,60.92520045013363,2299.0
197,Vietnam,221641,97339000,2.277000996517326,2715.27603640721
198,Yemen,75430,29826000,2.529001542278549,774.334489816721
199,Zambia,46830,18384000,2.5473237597911225,1305.06325350544
200,Zimbabwe,62556,14863000,4.208840745475341,1463.98591018054
