,country_long,n_users,population,users_per_K,gdp_2019
0,Afghanistan,27465,38928000,0.7055332922318126,507.103431871987
1,Albania,13696,2850000,4.805614035087719,5353.2448564014
2,Algeria,128007,43851000,2.9191352534719845,3973.96407191565
3,Andorra,2700,77000,35.064935064935064,40886.3911648431
4,Angola,34144,32866000,1.038885170084586,2790.72661520665
5,Anguilla,784,15000,52.26666666666667,
6,Antarctica,8688,0,inf,
7,Antigua and Barbuda,2916,98000,29.75510204081633,17112.8211347326
8,Argentina,2966169,45350000,65.40615214994487,9912.28180859803
9,Armenia,17155,2963000,5.789740128248397,4622.73349328671
11,Australia,1397625,25651000,54.486179876028224,55060.3261005013
12,Austria,116260,8912000,13.045332136445243,50137.6627762476
13,Azerbaijan,38533,10112000,3.8106210443037973,4793.58701966989
14,Bahrain,94863,1702000,55.73619271445359,23503.977126673
15,Bangladesh,254015,164689000,1.5423920237538633,1855.73982408046
16,Barbados,19998,287000,69.6794425087108,18148.2449264001
17,Belarus,118181,9459000,12.494026852732846,6663.29529282582
18,Belgium,291680,11525000,25.308459869848157,46420.6637668061
19,Belize,4812,398000,12.090452261306533,4815.1637107951
20,Benin,10601,12123000,0.8744535181060794,1219.43267185875
21,Bermuda,5988,62000,96.58064516129032,117089.286273037
22,Bhutan,2712,772000,3.5129533678756477,3316.17571350084
23,Bolivia,80004,11673000,6.853765098946287,3552.0687602631
24,Bosnia and Herzegovina,20853,3281000,6.355684242608961,6108.51069581338
25,Botswana,35090,2352000,14.919217687074829,7961.32518123885
26,Brazil,7971547,212559000,37.50274982475454,8717.18627810819
28,Brunei,20534,437000,46.98855835240275,31086.7511188028
29,Bulgaria,56923,6923000,8.222302470027445,9828.14851478139
30,Burkina Faso,4871,20903000,0.2330287518538009,786.895631290168
31,Cambodia,31887,16719000,1.9072312937376636,1643.12138876539
32,Cameroon,30803,26546000,1.1603631432230843,1507.45020591288
33,Canada,2626345,37912000,69.27476788351973,46194.7252255167
34,Caribbean Netherlands,310,26365,11.758012516593968,
36,Chile,971981,19116000,50.84646369533375,14896.4538665789
37,China,433087,1402667000,0.30875966997156135,10261.6792453621
38,Colombia,2048396,50883000,40.25698170312285,6428.67620562768
39,Costa Rica,159615,5094000,31.333922261484098,12243.8114267607
40,Croatia,53568,4043000,13.249567153104131,14936.100547343
42,Curaçao,5548,158000,35.11392405063291,19689.13982339
43,Cyprus,34696,1207000,28.745650372825185,27858.3709958327
44,Czechia,90069,10688000,8.427114520958083,23494.5962002944
45,Côte d'Ivoire,23074,26378000,0.8747441049359315,2276.33327906444
46,Democratic Republic of the Congo,7186,89561000,0.08023581692924375,580.716867207745
47,Denmark,144820,5838000,24.806440561836247,60170.3426365069
